MAP2K4	P45985
CAPN10	Q9HC96
RIMS3	Q9UJD0
TSPAN2	O60636
LY6D	Q14210
GK	P32189
BTN3A3	O00478
SEMA4A	Q9H3S1
AGXT2	Q9BYV1
EBPL	Q9BY08
ENTPD4	Q9Y227
MMP23B	O75900
ADH6	P28332
CD68	P34810
HYAL3	O43820
HYAL3	Q93015
AGPAT2	O15120
PGBD3	Q03468
PGBD3	P0DP91
PGBD3	Q8N328
LPAR1	Q92633
PPP3R2	Q96LZ3
ARSF	P54793
ACSM5	Q6NUN0
DLX3	O60479
BMP10	O95393
CYP3A5	P20815
ACSS3	Q9H6R3
LEFTY2	O00292
ABCC5	O15440
TTLL3	Q9Y4R7
ADSSL1	Q8N142
FOXJ1	Q92949
DLX4	Q92988
NPY5R	Q15761
NDUFAB1	O14561
AMY2A	P04746
CHST4	Q8NCG5
SLC10A1	Q14973
CLEC18C	Q8NCF0
B4GALT2	O60909
B3GAT1	Q9P2W7
ADAMTSL2	Q86TH1
ADCY7	P51828
CMTM4	Q8IZR5
ABCC6	O95255
ART3	Q13508
ACADS	P16219
ADH1A	P07327
COX8A	P10176
SPRR2A	P35326
SQLE	Q14534
HK3	P52790
OVGP1	Q12889
ZNF267	Q14586
ZPBP	Q9BS86
LTB4R	Q15722
HYAL1	Q12794
PQLC1	Q8N2U9
COL6A2	P12110
COX11	Q9Y6N1
CYP2J2	P51589
DDC	P20711
DEFA5	Q01523
CD83	Q01151
CYHR1	Q6ZMK1
UGT2B7	P16662
FFAR2	O15552
GYS2	P54840
ABCB11	O95342
HOXA7	P31268
ALDH6A1	Q02252
SOX12	O15370
MAL	P21145
CYTB	P00156
ND4L	P03901
NDUFB2	O95178
ST7	Q9NRC1
ABCB4	P21439
RNASE1	P07998
ALG9	Q9H6U8
GNPNAT1	Q96EK6
UGT2B4	P06133
TCEA3	O75764
ZNF32	P17041
TSPAN1	O60635
ACKR4	Q9NPB9
TPTE	P56180
CYP27A1	Q02318
GP2	P55259
TMEM106A	Q96A25
ABHD6	Q9BV23
UGT1A4	P22310
CYP2W1	Q8TAV3
ABCA5	Q8WWZ7
SCRN3	Q0VDG4
MSANTD2	Q6P1R3
SLC37A3	Q8NCC5
SLC35A3	Q9Y2D2
CLDN15	P56746
OPLAH	O14841
IHH	Q14623
PLLP	Q9Y342
LYRM1	O43325
NKG7	Q16617
G0S2	P27469
PLA2G3	Q9NZ20
ZSCAN26	Q16670
RSC1A1	Q92681
GALNT7	Q86SF2
PIGY	Q3MUY2
ITPKC	Q96DU7
SEMA3B	Q13214
LYRM4	Q9HD34
WFDC1	Q9HC57
ZNF576	Q9H609
PLIN4	Q96Q06
ARL14	Q8N4G2
MMRN2	Q9H8L6
ZNF16	P17020
ZNF177	Q13360
TLE6	Q9H808
B3GALT2	O43825
RBP5	P82980
ZBED2	Q9BTP6
ADCK1	Q86TW2
B3GNT2	Q9NY97
TMEM246	Q9BRR3
FUT9	Q9Y231
SPATA20	Q8TB22
RPUSD1	Q9UJJ7
ZBED6CL	Q96FA7
ZNF641	Q96N77
AP1S3	Q96PC3
NACC2	Q96BF6
TSSK4	Q6SA08
TRMT10B	Q6PF06
ZNF596	Q8TC21
EXTL1	Q92935
SDR16C5	Q8N3Y7
ADCK5	Q3MIX3
RBM38	Q9H0Z9
CYP4F11	Q9HBI6
LAMP3	Q9UQV4
TBC1D23	Q9NUY8
GPRC5B	Q9NZH0
NUDT15	Q9NV35
TOMM40L	Q969M1
GLTPD2	A6NH11
PRR7	Q8TB68
ZNF785	A8K8V0
PHF13	Q86YI8
THAP6	Q8TBB0
C2ORF74	A8MZ97
C3ORF38	Q5JPI3
WWTR1	Q9GZV5
ZDHHC21	Q8IVQ6
ABHD5	Q8WTS1
CCDC126	Q96EE4
FAM71F1	Q96KD3
HPGDS	O60760
PTGER3	P43115
ALOX12	P18054
USP16	Q9Y5T5
UBE2QL1	A1L167
EDN3	P14138
ERCC6L2	Q5T890
HGF	P14210
ZSWIM8	A7E2V4
RSPO2	Q6UXX9
RSPO3	Q9BXY4
RSPO4	Q2I0M5
VCP	P55072
CHRM1	P11229
NOTCH2	Q04721
NOTCH3	Q9UM47
STYX	Q8WUJ0
ST6GALNAC1	Q9NSC7
MOCS3	O95396
TMEM214	Q6NUQ4
MTHFR	P42898
CD97	P48960
SLC27A5	Q9Y2P5
IMMP2L	Q96T52
FOXRED1	Q96CU9
ACSS2	Q9NR19
GNPTG	Q9UJJ9
HS3ST3A1	Q9Y663
ZNF44	P15621
VWA5B2	Q8N398
ANGPTL6	Q8NI99
PRADC1	Q9BSG0
B3GALT6	Q96L58
TIPARP	Q7Z3E1
ZNF330	Q9Y3S2
HK3	P52790
HK2	P52789
C17ORF62	Q9BQA9
MGST1	P10620
TCEAL5	Q5H9L2
LONRF3	Q496Y0
ZNF595	Q8IYB9
MAFB	Q9Y5Q3
IFNLR1	Q8IU57
C6ORF48	Q9UBA6
TMEFF2	Q9UIK5
TMEM64	Q6YI46
SEC61A1	P61619
DNAJA3	Q96EY1
FAM117A	Q9C073
LZTS3	O60299
PPP1R3F	Q6ZSY5
FAM222B	Q8WU58
FAM222A	Q5U5X8
KIAA0195	Q12767
DCLK3	Q9C098
HKR1	P10072
CDKL1	Q00532
NSG1	P42857
ZFP14	Q9HCL3
ZNF30	P17039
ZNF146	Q15072
RASA4	O43374
ZNF223	Q9UK11
NPM2	Q86SE8
LCA5	Q86VQ0
DAW1	Q8N136
CLDN19	Q8N6F1
LRRN4CL	Q8ND94
MCOLN3	Q8TDD5
C16ORF78	Q8WTQ4
SDR42E1	Q8WUS8
RPL39L	Q96EH5
ALKBH3	Q96Q83
YPEL2	Q96QA6
LCE3D	Q9BYE3
CBLN4	Q9NTU7
STON1	Q9Y6Q2
SERPINB10	P48595
SPANXN4	Q5MJ08
C11ORF87	Q6NUJ2
ZNF444	Q8N0Y2
OR6B3	Q8NGW1
ZNF514	Q96K75
NOL4L	Q96MY1
MBNL3	Q9NUK0
AARS2	Q5JTZ9
RNASE2	P10153
SLC7A8	Q9UHI5
SLC3A1	Q07837
SLC7A8	Q9UHI5
ACOT11	Q8WXI4
PTGIR	P43119
PTGER1	P34995
LTB4R2	Q9NPC1
CYP11B2	P19099
PTGFR	P43088
TRIM21	P19474
GDF2	Q9UK05
GNAQ	P50148
CASP7	P55210
GZMB	P10144
CHRM4	P08173
ALPL	P05186
CHPF2	Q9P2E5
CTSZ	Q9UBR2
PRSS21	Q9Y6M0
C6ORF89	Q6UWU4
TMEM245	Q9H330
CILP2	Q8IUL8
COCH	O43405
ENPP3	O14638
COLGALT2	Q8IYK4
HEPH	Q9BQS7
ICAM4	Q14773
KDELC2	Q7Z4H8
LRFN4	Q6PJG9
NRROS	Q86YC3
MAN2B2	Q9Y2E5
MANBA	O00462
MGAT3	Q09327
NRM	Q8IXM6
PCYOX1L	Q8NBM8
SIAE	Q9HAT2
SLC25A21	Q9BQT8
SUSD1	Q6UWL2
TIMM23	O14925
TMEM131	Q92545
TMEM231	Q9H6L2
TTC17	Q96AE7
TXNDC15	Q96J42
UGT8	Q16880
VWDE	Q8N2E2
IGSF3	O75054
FAM193A	P78312
NEK4	P51957
PLEKHG1	Q9ULL1
CCDC77	Q9BR77
CEP89	Q96ST8
CSPP1	Q1MSJ5
KIAA1671	Q9BY89
MIPOL1	Q8TD10
TANC2	Q9HCD6
CCDC138	Q96M89
KIAA0753	Q2KHM9
RALGAPB	Q86X10
AGAP3	Q96P47
DENND1A	Q8TEH3
DENND4C	Q5VZ89
INPP5F	Q9Y2H2
KIAA0355	O15063
MTMR12	Q9C0I1
PARP8	Q8N3A8
PPM1H	Q9ULR3
REEP4	Q9H6H4
TBC1D22A	Q8WUA7
ERBB3	P21860
SMO	Q99835
RAD54L	Q92698
SLCO4C1	Q6ZQN7
MEIOB	Q8N635
ASTE1	Q2TB18
GPALPP1	Q8IXQ4
TAAR2	Q9P1P5
ERV3-1	Q14264
ANKRD65	E5RJM6
C17ORF53	Q8N3J3
AVL9	Q8NBF6
LYNX1	P0DP58
LSM14B	Q9BX40
RSPH9	Q9H1X1
RNASE4	P34096
ZC3H3	Q8IXZ2
ZSWIM6	Q9HCJ5
POLG2	Q9UHN1
HOXA2	O43364
GSDMA	Q96QA5
VGF	O15240
AMY2B	P19961
GCNT2	Q8N0V5
PABPC1L	Q4VXU2
IGKV2-30	P06310
LGR5	O75473
ZNRF3	Q9ULT6
TNFSF9	P41273
PTPN11	Q06124
GGT7	Q9UJ14
MMRN1	Q13201
FAM204A	Q9H8W3
CCDC172	P0C7W6
C17ORF97	Q6ZQX7
AK8	Q96MA6
CCDC121	Q6ZUS5
CCDC74A	Q96AQ1
CCDC74B	Q96LY2
FOXR2	Q6PJQ5
GNA14	O95837
GTF2H2C_2	Q6P1K8
KRT222	Q8N1A0
LCA5L	O95447
LHX8	Q68G74
MTO1	Q9Y2Z2
NBPF15	Q8N660
SLFN12	Q8IYM2
JMJD4	Q9H9V9
TBX6	O95947
ZNF280A	P59817
ZNF333	Q96JL9
ZNF480	Q8WV37
ZNF57	Q68EA5
UBE2J1	Q9Y385
STK11	Q15831
AARSD1	Q9BTE6
TRMT10A	Q8TBZ6
ABHD14A	Q9BUJ0
NHLRC2	Q8NBF2
ALAD	P13716
TATDN1	Q6P1N9
PARP6	Q2NL67
FTO	Q9C0B1
CRYZ	Q08257
ME1	P48163
DPP9	Q86TI2
FAM114A1	Q8IWE2
FAM129A	Q9BZQ8
GMPR2	Q9P2T1
GNPDA2	Q8TDQ7
TBCE	Q15813
PGGT1B	P53609
RASAL1	O95294
SBNO1	A3KN83
SCPEP1	Q9HB40
ZNF503	Q96F45
NAP1	Q8NFU4
EXO5	Q9H790
CHRNA4	P43681
PIH1D2	Q8WWB5
WDR63	Q8IWG1
DNAH6	Q9C0G6
ACTC1	P68032
CNN2	Q99439
CORO1C	Q9ULV4
CSRP1	P21291
GSN	P06396
SERPINH1	P50454
HSPD1	P10809
EIF5A	P63241
CALD1	Q05682
FLNB	O75369
PLEC	Q15149
TPM1	P09493
TPM4	P67936
UNC45B	Q8IWX7
VCL	P18206
FAIM	Q9NVQ4
SCGB2A1	O75556
A2ML1	A8K2U0
TRIM71	Q2Q1W2
CUL1	Q13616
ATG10	Q9H0Y0
ASB5	Q8WWX0
ZC3H6	P61129
GRM1	Q13255
SERPINB5	P36952
CACNA1B	Q00975
ASB11	Q8WXH4
ASB14	A6NK59
ASB15	Q8WXK1
ASB16	Q96NS5
ASB18	Q6ZVZ8
GPX8	Q8TED1
NF2	P35240
OR51B4	Q9Y5P0
MUCL1	Q96DR8
PA2G4	Q9UQ80
TFRC	P02786
SREBF1	P36956
PACS2	Q86VP3
PKHD1	P08F94
DSCAM	O60469
CCDC157	Q569K6
NPC1L1	Q9UHC9
FBXL16	Q8N461
DCC	P43146
ATAD3C	Q5T2N8
NXPE4	Q6UWF7
GPR161	Q8N6U8
HAGHL	Q6PII5
ZNF618	Q5T7W0
FRAT2	O75474
ADARB2	Q9NS39
ARMCX5	Q6P1M9
ZNF628	Q5EBL2
SENP5	Q96HI0
CDKN2AIPNL	Q96HQ2
LSG1	Q9H089
DCSTAMP	Q9H295
PLA2G2D	Q9UNK4
RGS8	P57771
SLC52A2	Q9HAB3
ADCY3	O60266
ELAVL3	Q14576
PCDHA6	Q9UN73
RNF146	Q9NTX7
SLC9A3	P48764
DGAT2	Q96PD7
RNF25	Q96BH1
PJA1	Q8NG27
SLC22A18	Q96BI1
NSMCE1	Q8WV22
NSMCE2	Q96MF7
BACE1	P56817
BRI3	O95415
ZBTB4	Q9P1Z0
ZBTB38	Q8NAP3
L1CAM	P32004
PLCB2	Q00722
WDR26	Q9H7D7
XIRP1	Q702N8
SPHKAP	Q2M3C7
ENTPD1	P49961
ANKRD49	Q8WVL7
HSF5	Q4G112
HSFX2	Q9UBD0
HSFY2	Q96LI6
AMT	P48728
LCE3A	Q5TA76
DNAH17	Q9UFH2
LRRC6	Q86X45
MAEL	Q96JY0
FUOM	A2VDF0
SLC34A2	O95436
PHOSPHO2-KLHL23	Q8NBE8
FAM136A	Q96C01
ROM1	Q03395
OTUD3	Q5T2D3
OTUD7A	Q8TE49
GABBR2	O75899
CRB3	Q9BUF7
EIF5AL1	Q6IS14
UCKL1	Q9NWZ5
DPP6	P42658
PRR20A	P86496
FAM9B	Q8IZU0
RIMBP3	Q9UFD9
SYCE1	Q8N0S2
ZNF341	Q9BYN7
CA6	P23280
CMTM5	Q96DZ9
FUNDC1	Q8IVP5
CCDC36	Q8IYA8
FSD2	A1L4K1
IQCE	Q6IPM2
TTC23L	Q6PF05
CCDC102B	Q68D86
NPAS3	Q8IXF0
NUBPL	Q8TB37
CDX4	O14627
LDLRAD1	Q5T700
TMEM79	Q9BSE2
MAGEA8	P43361
SLC12A3	P55017
FEZF2	Q8TBJ5
SEC61G	P60059
MTMR1	Q13613
CILP	O75339
GALNT18	Q6P9A2
GRPR	P30550
TPGS1	Q6ZTW0
CLCN6	P51797
IGHV3-48	P01763
FAM104A	Q969W3
MTFR1L	Q9H019
MMP27	Q9H306
SLC2A12	Q8TD20
SLC4A10	Q6U841
TDRD9	Q8NDG6
UNC5B	Q8IZJ1
ZNF385A	Q96PM9
ZNF804B	A4D1E1
PLIN3	O60664
KCTD20	Q7Z5Y7
SAMHD1	Q9Y3Z3
LRRC8B	Q6P9F7
RTN4RL1	Q86UN2
PRAMEF8	Q5VWM4
LRFN2	Q9ULH4
DPH7	Q9BTV6
WDR90	Q96KV7
WDFY4	Q6ZS81
TRIM11	Q96F44
STXBP5L	Q9Y2K9
STXBP5L	Q9Y2K9
SNCB	Q16143
OS9	Q13438
SEL1L2	Q5TEA6
SEL1L	Q9UBV2
TUFM	P49411
SEC16A	O15027
RPSA	P08865
COPB1	P53618
GRPEL1	Q9HAV7
TUBA1C	Q9BQE3
COPE	O14579
RNF13	O43567
AMZ2	Q86W34
FSTL4	Q6MZW2
HADHA	P40939
ATXN2	Q99700
ATP5J	P18859
TMEM263	Q8WUH6
DNAJB11	Q9UBS4
ITLN1	Q8WWA0
ACAD10	Q6JQN1
DNAH17	Q9UFH2
COPG1	Q9Y678
ABCA4	P78363
CLTA	P09496
BST2	Q10589
COPB2	P35606
EIF4B	P23588
ERMP1	Q7Z2K6
FAM96B	Q9Y3D0
GFPT1	Q06210
HM13	Q8TCT9
HMGN3	Q15651
KIF5B	P33176
LMO7	Q8WWI1
NBAS	A2RRP1
ATP8B2	P98198
MARCKSL1	P49006
BABAM1	Q9NWV8
MLEC	Q14165
MYEF2	Q9P2K5
NNT	Q13423
NOMO1	Q15155
PDHB	P11177
PGK2	P07205
PSMD3	O43242
PTMS	P20962
RAB5B	P61020
SEC31A	O94979
SNRNP27	Q8WVK2
SNRPA	P09012
SPHKAP	Q2M3C7
STOML2	Q9UJZ1
SYTL4	Q96C24
TCEAL3	Q969E4
TGOLN2	O43493
TNPO2	O14787
TOR1AIP2	Q9H496
TOR1AIP2	Q8NFQ8
VWA5B2	Q8N398
ZMPSTE24	O75844
EEF1B2	P24534
EIF3B	P55884
IAPP	P10997
ARSB	P15848
GPD2	P43304
PGAM5	Q96HS1
SEC11A	P67812
SRPRB	Q9Y5M8
KRT8	P05787
PURB	Q96QR8
FAM114A2	Q9NRY5
CKAP4	Q07065
SCGN	O76038
SEH1L	Q96EE3
PRDX2	P32119
FAM114A1	Q8IWE2
TTC22	Q5TAA0
SCFD1	Q8WVM8
GAA	P10253
HBA2	P69905
PTMA	P06454
ANXA5	P08758
USP15	Q9Y4E8
PGAM1	P18669
HNRNPH3	P31942
VGF	O15240
TMED2	Q15363
U2AF2	P26368
KIFC2	Q96AC6
LMNB2	Q03252
CPLX2	Q6PUV4
TRIP11	Q15643
LRRFIP2	Q9Y608
VIL1	P09327
COX4I1	P13073
SH3GLB1	Q9Y371
PDIA6	Q15084
NCAM1	P13591
NOLC1	Q14978
TIMM44	O43615
PSAP	P07602
GORASP2	Q9H8Y8
SLC7A5	Q01650
HNRNPUL2	Q1KMD3
MYO18A	Q92614
SCG5	P05408
SPCS2	Q15005
ACTG2	P63267
CCAR2	Q8N163
PGRMC1	O00264
GLG1	Q92896
HMGN2	P05204
CD81	P60033
GANAB	Q14697
ATP1A2	P50993
DBN1	Q16643
MROH6	A6NGR9
CHMP4B	Q9H444
DNAAF3	Q8N9W5
MYCBP	Q99417
NDUFV3	P56181
PSMA3	P25788
RPLP1	P05386
RPS26	P62854
ATMIN	O43313
USP19	O94966
KLHL40	Q2TBA0
LMOD3	Q0VAK6
PRDM6	Q9NQX0
NDUFA1	O15239
COQ4	Q9Y3A0
COQ5	Q5HYK3
FBXL8	Q96CD0
FBXO15	Q8NCQ5
SGK1	O00141
CRTC2	Q53ET0
CYSLTR1	Q9Y271
CYSLTR2	Q9NS75
NANOS3	P60323
ENPP2	Q13822
FBXO43	Q4G163
TRIM58	Q8NG06
C17ORF75	Q9HAS0
FAM91A1	Q658Y4
IL32	P24001
TRPM4	Q8TD43
YPEL1	O60688
SPATA6	Q9NWH7
GPR101	Q96P66
MTSS1L	Q765P7
CEP112	Q8N8E3
GEN1	Q17RS7
NSDHL	Q15738
LRRIQ4	A6NIV6
PANX1	Q96RD7
EIF4EBP1	Q13541
PSEN2	P49810
PSEN1	P49768
SIRT1	Q96EB6
FOXO1	Q12778
ZRANB1	Q9UGI0
BTRC	Q9Y297
PPHLN1	Q8NEY8
SLC30A6	Q6NXT4
RER1	O15258
MUC3A	Q02505
SPATA31A3	Q5VYP0
TMC8	Q8IU68
RNF157	Q96PX1
TMEM70	Q9BUB7
ZNF704	Q6ZNC4
TANC1	Q9C0D5
EML5	Q05BV3
PSMA4	P25789
CDC20	Q12834
ANAPC11	Q9NYG5
SPP1	P10451
SOX3	P41225
SOX1	O00570
RTP5	Q14D33
ACYP2	P14621
OSGIN1	Q9UJX0
CCNJL	Q8IV13
NUDT22	Q9BRQ3
CIB3	Q96Q77
KRT40	Q6A162
KRTAP10-9	P60411
KRTAP10-8	P60410
KRTAP10-3	P60369
C1ORF50	Q9BV19
ZFYVE26	Q68DK2
ZMAT1	Q5H9K5
ZNF564	Q8TBZ8
KLHL35	Q6PF15
KRTAP4-2	Q9BYR5
KRTAP10-5	P60370
IFNA4	P05014
HHIPL2	Q6UWX4
ARL16	Q0P5N6
NUDT2	P50583
CRTAC1	Q9NQ79
KIAA1958	Q8N8K9
HOXB5	P09067
DMRT3	Q9NQL9
FAM83A	Q86UY5
MORN4	Q8NDC4
CDC20B	Q86Y33
FAM133A	Q8N9E0
HILPDA	Q9Y5L2
WDR27	A2RRH5
BFSP2	Q13515
GOLGA8F	Q08AF8
C21ORF2	O43822
GGPS1	O95749
ATP5G1	P05496
LIMS3	P0CW19
NUDT12	Q9BQG2
BLVRA	P53004
SMCO4	Q9NRQ5
BTC	P35070
TEKT1	Q969V4
CAGE1	Q8TC20
FAM72A	Q5TYM5
CACNG1	Q06432
ADAMTS12	P58397
CCM2L	Q9NUG4
FAM171A2	A8MVW0
KRTAP19-7	Q3SYF9
KRTAP10-11	P60412
EPHA10	Q5JZY3
CAPG	P40121
ZNF18	P17022
PNMA5	Q96PV4
POLR3GL	Q9BT43
SIGLEC6	O43699
ENTPD3	O75355
ENTPD5	O75356
CD69	Q07108
TMEM190	Q8WZ59
GRAMD1C	Q8IYS0
CCDC153	Q494R4
SGSM1	Q2NKQ1
HEMK1	Q9Y5R4
RBMY1F	Q15415
CLC	Q05315
CLCN1	P35523
LUZP4	Q9P127
ZNF394	Q53GI3
COMP	P49747
CPT1B	Q92523
GCM2	O75603
KIAA0141	Q14154
KRTAP8-1	Q8IUC2
CRYBA4	P53673
CRYGA	P11844
CST1	P01037
BCAS3	Q9H6U6
ZNF750	Q32MQ0
RECK	O95980
CYB561	P49447
CYP1A1	P04798
TMTC3	Q6ZXV5
LGALS9B	Q3B8N2
LGALS9C	Q6DKI2
ZNF138	P52744
KRTAP9-4	Q9BYQ2
KRTAP10-1	P60331
ZNF697	Q5TEC3
KRTAP10-4	P60372
DOLK	Q9UPQ8
MAB21L3	Q8N8X9
SLC16A9	Q7RTY1
EMP1	P54849
INPP5J	Q15735
TRMT2B	Q96GJ1
HYAL2	Q12891
KIRREL2	Q6UWL6
EFCAB12	Q6NXP0
KTI12	Q96EK9
SLAIN1	Q8ND83
SLC44A3	Q8N4M1
C9ORF116	Q5BN46
DCDC2B	A2VCK2
TTLL10	Q6ZVT0
MYBPHL	A2RUH7
KRTAP12-2	P59991
KRTAP12-1	P59990
LGALS14	Q8TCE9
GALNT3	Q14435
GPR25	O00155
LHFPL5	Q8TAF8
GIP	P09681
GMPR	P36959
PDCL2	Q8N4E4
UTP14C	Q5TAP6
CCDC94	Q9BW85
CCDC70	Q6NSX1
ZNF587	Q96SQ5
FAM207A	Q9NSI2
SNAP47	Q5SQN1
ZNF572	Q7Z3I7
RIBC1	Q8N443
C12ORF50	Q8NA57
ATP6V1C2	Q8NEY4
MSRB3	Q8IXL7
MORN3	Q6PF18
CCDC150	Q8NCX0
ZNF774	Q6NX45
LYSMD1	Q96S90
NPBWR2	P48146
NUTM2F	A1L443
PRR22	Q8IZ63
GRM2	Q14416
GSTA2	P09210
GYPA	P02724
GYPB	P06028
GYPB	P02724
HBQ1	P09105
RFESD	Q8TAC1
HLA-DOA	P06340
PGBD1	Q96JS3
SLC29A2	Q14542
PCDHB14	Q9Y5E9
ZNF385C	Q66K41
ZNF385C	A0A1B0GUU1
C6ORF226	Q5I0X4
KRTAP4-7	Q9BYR0
LCE4A	Q5TA78
LCE1B	Q5T7P3
LCE3E	Q5T5B0
KRTAP12-4	P60329
KRTAP5-6	Q6L8G9
KRTAP4-11	Q9BYQ6
C1QTNF2	Q9BXJ5
C4ORF19	Q8IY42
ZNF511	Q8NB15
KCNS2	Q9ULS6
LHX9	Q9NQ69
ZNF180	Q9UJW8
ICA1L	Q8NDH6
CCDC114	Q96M63
APOL6	Q9BWW8
SLC5A11	Q8WWX8
SPOPL	Q6IQ16
LY6H	O94772
SPINK2	P20155
SLC22A23	A1A5C7
LCE2A	Q5TA79
LCE3C	Q5T5A8
ZNF69	Q9UC07
SLC23A1	Q9UHI7
SPON2	Q9BUD6
TAPBPL	Q9BX59
C19ORF73	Q9NVV2
TMEM106C	Q9BVX2
ARSJ	Q5FYB0
HSPA12B	Q96MM6
PRR19	A6NJB7
C5ORF60	A6NFR6
LAIR2	Q6ISS4
IFT43	Q96FT9
CLHC1	Q8NHS4
MAB21L1	Q13394
TIGD5	Q53EQ6
FRMPD1	Q5SYB0
ELMOD3	Q96FG2
BEX5	Q5H9J7
THEM5	Q8N1Q8
NANOS2	P60321
FERD3L	Q96RJ6
FIBCD1	Q8N539
TMEM213	A2RRL7
WNT11	O96014
ZNF79	Q15937
ZNF155	Q12901
KIAA0040	Q15053
DAAM2	Q86T65
ADAMTSL3	P82987
RIPPLY1	Q0D2K3
SPATA3	Q8NHX4
DCANP1	Q8TF63
SPATA8	Q6RVD6
ZNF578	Q96N58
ZNF433	Q8N7K0
ZNF844	Q08AG5
PAGE3	Q5JUK9
ITM2A	O43736
CSDC2	Q9Y534
TMEM100	Q9NV29
KIZ	Q2M2Z5
ZNF695	Q8IW36
SPATA1	Q5VX52
IGFN1	Q86VF2
TTC39B	Q5VTQ0
UBL4B	Q8N7F7
FUT11	Q495W5
OIT3	Q8WWZ8
TCTEX1D1	Q8N7M0
TBCEL	Q5QJ74
NALCN	Q8IZF0
WFDC9	Q8NEX5
FOXR1	Q6PIV2
ZNF404	Q494X3
CCDC103	Q8IW40
CCDC103	A6NFU0
BCL2L15	Q5TBC7
SCGB2A2	Q13296
PHOSPHO2	Q8TCD6
NAP1L3	Q99457
NEU2	Q9Y3R4
ZNF614	Q8N883
NINJ2	Q9NZG7
SREK1IP1	Q8N9Q2
KCNK16	Q96T55
LCE2D	Q5TA82
PIH1D3	Q9NQM4
P2RY6	Q15077
PAX4	O43316
TMEM218	A2RU14
PDE4C	Q08493
NAA38	Q9BRA0
PLCB4	Q15147
GDPD5	Q8WTR4
PMP2	P02689
TBX15	Q96SF7
SMCO3	A2RU48
PRM2	P04554
BTN2A2	Q8WVV5
CCL28	Q9NRJ3
FAM218A	Q96MZ4
ZNF366	Q8N895
PWWP2B	Q6NUJ5
ZBTB44	Q8NCP5
LIMD2	Q9BT23
SLC30A2	Q9BRI3
TM6SF1	Q9BZW5
ZNF772	Q68DY9
B4GALT7	Q9UBV7
FAM19A1	Q7Z5A9
ZNF317	Q96PQ6
KIAA0100	Q14667
NEUROG3	Q9Y4Z2
AGPAT4	Q9NRZ5
TMEM8A	Q9HCN3
PLEKHN1	Q494U1
MIEN1	Q9BRT3
SLC39A13	Q96H72
ZNF765	Q7L2R6
TSTD2	Q5T7W7
PATE1	Q8WXA2
ZNF550	Q7Z398
TTC21A	Q8NDW8
ZDHHC24	Q6UX98
BARHL2	Q9NY43
RAB41	Q5JT25
GFM2	Q969S9
TSGA10IP	Q3SY00
SLC38A7	Q9NVC3
CYB561A3	Q8NBI2
KRTAP2-4	Q9BYR9
ESRP1	Q6NXG1
XCL1	P47992
ERICH2	A1L162
CT45A3	Q8NHU0
CT45A5	P0DMU8
TMEM239	Q8WW34
SOD3	P08294
EVA1B	Q9NVM1
SMAGP	Q0VAQ4
TMUB2	Q71RG4
C1QTNF6	Q9BXI9
TMEM31	Q5JXX7
FAM102A	Q5T9C2
KIAA0319L	Q8IZA0
SNX32	Q86XE0
IGHV4-31	A0A087WSY4
NFKBID	Q8NI38
XCL2	Q9UBD3
TARSL2	A2RTX5
KCTD14	Q9BQ13
NUDT10	Q8NFP7
VGLL2	Q8N8G2
TEF	Q10587
GSTO2	Q9H4Y5
TSPAN12	O95859
DNAJC27	Q9NZQ0
NPEPL1	Q8NDH3
DNAJC5B	Q9UF47
THRSP	Q92748
TM4SF4	P48230
TNXB	P22105
ZNF26	P17031
FAM9C	Q8IZT9
PRDM7	Q9NQW5
SLC25A48	Q6ZT89
SSC5D	A1L4H1
ZNF662	Q6ZS27
ZNF544	Q6NX49
TEKT3	Q9BXF9
GSG1	Q2KHT4
HENMT1	Q5T8I9
NATD1	Q8N6N6
VWA2	Q5GFL6
CTAG2	O75638
KLK15	Q9H2R5
RFPL3	O75679
ARL8A	Q96BM9
ZNF85	Q03923
PPCDC	Q96CD2
CCL4L2	Q8NHW4
DISP1	Q96F81
MS4A12	Q9NXJ0
ARMCX1	Q9P291
SOX14	O95416
FCRL2	Q96LA5
KRTAP23-1	A1A580
KRTAP13-1	Q8IUC0
C17ORF67	Q0P5P2
CD300A	Q9UGN4
BBS5	Q8N3I7
LHX6	Q9UPM6
CNKSR3	Q6P9H4
SEC22C	Q9BRL7
SLC16A3	O15427
SYNGR1	O43759
LRRC20	Q8TCA0
RMDN2	Q96LZ7
SHISA3	A0PJX4
AMDHD2	Q9Y303
ZNF34	Q8IZ26
C4ORF33	Q8N1A6
AIM2	O14862
THEMIS2	Q5TEJ8
ATP6V1E2	Q96A05
ALKBH4	Q9NXW9
PBX4	Q9BYU1
SECISBP2L	Q93073
ZSCAN12	O43309
NUDT4	Q9NZJ9
CT55	Q8WUE5
ZNF114	Q8NC26
MYL7	Q01449
ACTL8	Q9H568
ISCA2	Q86U28
ZNF391	Q9UJN7
RIPPLY2	Q5TAB7
RUFY4	Q6ZNE9
IFI30	P13284
ST8SIA5	O15466
COL24A1	Q17RW2
GCSAM	Q8N6F7
SNX11	Q9Y5W9
NDRG4	Q9ULP0
TMEM199	Q8N511
STARD3	Q14849
WDR54	Q9H977
C9ORF24	Q8NCR6
ATP6V0E2	Q8NHE4
PTCD2	Q8WV60
TMEM115	Q12893
CACFD1	Q9UGQ2
INMT	O95050
SCRG1	O75711
